id,query,reference_answer,category,difficulty
q001,What is pneumonia?,Pneumonia is a lung infection that causes inflammation of the air sacs and can make breathing difficult.,disease,easy
q002,Can I take vitamin D daily?,"Yes, vitamin D can be taken daily within recommended limits to support bone and immune health.",nutrition,medium
q003,What are symptoms of dehydration?,"Symptoms include dry mouth, dizziness, dark urine, and fatigue.",symptom,high
q004,What is MRI used for?,MRI is used to create detailed images of organs and tissues using magnetic fields and radio waves.,diagnosis,easy
q005,How to treat a burn?,"Cool the burn under running water, avoid ice, and cover with a clean bandage.",first_aid,medium
q006,Can smoking cause cancer?,"Yes, smoking is a major cause of lung, throat, and other cancers.",preventive_care,high
q007,What is insulin?,Insulin is a hormone that helps control blood sugar levels.,anatomy,easy
q008,What is epilepsy?,Epilepsy is a neurological disorder marked by recurrent seizures.,disease,medium
q009,What are side effects of antibiotics?,"Common side effects include nausea, diarrhea, and allergic reactions.",side_effects,high
q010,How to lower cholesterol naturally?,"Eat more fiber, exercise regularly, and reduce saturated fats.",nutrition,easy
q011,Can I take aspirin on an empty stomach?,"No, taking aspirin on an empty stomach can increase stomach irritation.",drug_interaction,medium
q012,What is malaria?,Malaria is a mosquito-borne disease caused by Plasmodium parasites.,disease,high
q013,What is a fracture?,A fracture is a break or crack in a bone.,anatomy,easy
q014,How to stop bleeding?,Apply pressure to the wound with a clean cloth and keep it elevated.,first_aid,medium
q015,Can stress cause stomach pain?,"Yes, stress can affect digestion and cause stomach discomfort.",symptom,high
q016,What is antibiotic resistance?,It occurs when bacteria adapt and no longer respond to antibiotic treatment.,disease,easy
q017,What are treatments for anxiety?,"Common treatments include therapy, relaxation techniques, and medications.",treatment,medium
q018,What causes jaundice?,"Jaundice occurs when there is excess bilirubin in the blood, often due to liver problems.",disease,high
q019,Can I take milk with antibiotics?,Some antibiotics should not be taken with milk as calcium can reduce absorption.,drug_interaction,easy
q020,What is kidney failure?,Kidney failure occurs when the kidneys can no longer filter waste effectively.,disease,medium
q021,What is hypertension?,Hypertension is the medical term for persistently high blood pressure.,disease,high
