ID,Query,Category,Difficulty,CSV_Answer,RAG_Answer,BLEU_Score,ROUGE_L_Score,Max_Score
q001,What is achalasia?,disease,medium,Achalasia is a rare disorder of the esophagus (the tube that carries food from the throat to the stomach) that makes it difficult to swallow food and liquids. It's caused by nerve damage that prevents the esophagus from squeezing food down and stops the lower esophageal sphincter muscle from relaxing.,Achalasia is a disorder of the esophagus that prevents normal swallowing. It typically begins in young adults and worsens with age.,0.5238095238095238,0.2816901408450704,0.5238095238095238
q002,Can I take ibuprofen with warfarin?,drug_interaction,high,"No, you should not take ibuprofen with warfarin unless specifically directed by your doctor. NSAIDs like ibuprofen can significantly increase your risk of bleeding when combined with warfarin. Always consult your doctor for safe pain management alternatives.","It is advised to use ibuprofen with great caution if you are taking warfarin, as the combination can amplify the effects of the blood thinner and increase the risk of bleeding. Always consult your healthcare provider before combining these medications.",0.2777777777777778,0.23376623376623376,0.2777777777777778
q003,What are the side effects of aspirin?,side_effects,medium,"Common side effects of aspirin include stomach upset, heartburn, and indigestion. More serious side effects can include stomach bleeding, ulcers, and allergic reactions. In rare cases, it can cause Reye's syndrome in children.","Common side effects of aspirin include stomachache, heartburn, loss of appetite, and small amounts of blood in stools. Less common side effects are rashes, hives, fever, vision problems, liver damage, thirst, stomach ulcers, and bleeding. People allergic to aspirin or those with asthma, rhinitis, or nasal polyps may experience breathing difficulties after taking aspirin.",0.2608695652173913,0.3218390804597701,0.3218390804597701
q004,What is pneumonia?,disease,medium,"Pneumonia is an infection that inflames the air sacs (alveoli) in one or both lungs. The air sacs may fill with fluid or pus, causing symptoms like a cough with phlegm, fever, chills, and difficulty breathing.","Pneumonia is an infection of the lung that can be caused by a variety of organisms, including bacteria, viruses, fungi, amoebae, and parasites. It is a significant health concern in the United States, with 2 million cases developing each year and 40,000–70,000 resulting in death.",0.2564102564102564,0.22222222222222224,0.2564102564102564
q005,What are the symptoms of a heart attack?,symptom,medium,"Symptoms include chest pain or discomfort (pressure, squeezing, or aching), pain radiating to the arm, neck, jaw, or back, shortness of breath, cold sweats, nausea, and lightheadedness. Women may experience atypical symptoms like fatigue or jaw pain.","Symptoms of a heart attack can include chest heaviness, tightness, pain, a burning sensation, squeezing, or pressure either behind the breastbone or in the arms, neck, or jaws. Some people may also experience shortness of breath. It's important to note that many heart attacks can occur without symptoms, known as silent heart attacks.",0.26666666666666666,0.22222222222222224,0.26666666666666666
q006,What is the function of the liver?,anatomy,easy,"The liver is a vital organ that filters toxins from the blood, produces bile to help digest fat, stores glucose (sugar) for energy, and makes proteins essential for blood clotting.","The liver functions to manufacture and regulate proteins, make and store fatty acids and cholesterol, form and release bile, and process and store sugars as glycogen. It acts as a detoxifier, filtering the blood of waste products and converting food energy into glycogen for fuel. Additionally, it metabolizes chemicals to eliminate drugs and toxins from the body.",0.20454545454545456,0.13793103448275862,0.20454545454545456
q007,How do you perform CPR?,first_aid,medium,"For an adult, place the heel of one hand on the center of the chest, place your other hand on top, and push hard and fast at a rate of 100-120 compressions per minute. If trained, you can give 2 rescue breaths after every 30 compressions. Continue until help arrives.","To perform CPR on an adult, call the emergency medical system first. Then, perform the two-part procedure consisting of rescue breathing—administering mouth-to-mouth breaths—and external chest compressions to circulate blood to vital organs. Adjustments are made for infants and children to account for their smaller size.",0.23076923076923078,0.12631578947368424,0.23076923076923078
q008,What is Type 2 Diabetes?,disease,medium,Type 2 Diabetes is a chronic condition where the body either doesn't produce enough insulin or becomes resistant to it. This leads to high levels of sugar (glucose) in the blood.,"Type 2 diabetes is a chronic condition characterized by insulin resistance, high levels of blood sugar, and typically a later age of onset, usually 30 years or older. Despite the pancreas producing enough insulin, the body's cells become resistant to it, which impairs its effectiveness. This type of diabetes was previously known as adult-onset or non-insulin-dependent diabetes.",0.34,0.29545454545454547,0.34
q009,What is an MRI scan used for?,diagnosis,medium,"An MRI (Magnetic Resonance Imaging) scan uses strong magnetic fields and radio waves to create detailed images of the organs and tissues within the body. It is especially useful for imaging the brain, spine, joints, and soft tissues.","An MRI scan is used to provide detailed images of tissues, tumors, marrow cavities of the bone, and conditions of nerve tissue within the spinal cord. It is commonly used to diagnose joint problems, detect tumors, and provide detailed information about abnormalities that standard imaging tests might not reveal. It is particularly useful for assessing joint injuries, cartilage, ligaments, and tendon conditions.",0.3125,0.31999999999999995,0.31999999999999995
q010,Can I drink alcohol while taking antibiotics?,drug_interaction,medium,"It's generally best to avoid alcohol. While it doesn't make most antibiotics ineffective, it can increase side effects like dizziness and stomach upset. For some antibiotics, like metronidazole, alcohol can cause a severe reaction (nausea, vomiting, flushing).","It is generally advised to avoid alcohol while taking certain antibiotics, such as cephalosporins, as it can cause adverse reactions including abdominal cramps, nausea, vomiting, and facial flushing. Always check with the physician or pharmacist who prescribed the medicine for specific guidance related to your medication.",0.2857142857142857,0.19277108433734938,0.2857142857142857
